src,ctg,fund,tkr,date,cmltvUnitCnt,val
Internal,Value,SVF,3988.HK,2015-10-13,0,0
Internal,Value,SVF,3988.HK,2015-10-14,0,0
Internal,Value,SVF,3988.HK,2015-10-15,0,0
Internal,Value,SVF,3988.HK,2015-10-16,0,0
Internal,Value,SVF,3988.HK,2015-10-17,0,0
Internal,Value,SVF,3988.HK,2015-10-18,0,0
Internal,Value,SVF,3988.HK,2015-10-19,0,0
Internal,Value,SVF,3988.HK,2015-10-20,0,0
Internal,Value,SVF,3988.HK,2015-10-21,0,0
Internal,Value,SVF,3988.HK,2015-10-22,0,0
Internal,Value,SVF,3988.HK,2015-10-23,0,0
Internal,Value,SVF,3988.HK,2015-10-24,0,0
Internal,Value,SVF,3988.HK,2015-10-25,0,0
Internal,Value,SVF,3988.HK,2015-10-26,0,0
Internal,Value,SVF,3988.HK,2015-10-27,0,0
Internal,Value,SVF,3988.HK,2015-10-28,0,0
Internal,Value,SVF,3988.HK,2015-10-29,0,0
Internal,Value,SVF,3988.HK,2015-10-30,0,0
Internal,Value,SVF,3988.HK,2015-10-31,0,0
Internal,Value,SVF,3988.HK,2015-11-01,0,0
Internal,Value,SVF,3988.HK,2015-11-02,0,0
Internal,Value,SVF,3988.HK,2015-11-03,0,0
Internal,Value,SVF,3988.HK,2015-11-04,0,0
Internal,Value,SVF,3988.HK,2015-11-05,0,0
Internal,Value,SVF,3988.HK,2015-11-06,0,0
Internal,Value,SVF,3988.HK,2015-11-07,0,0
Internal,Value,SVF,3988.HK,2015-11-08,0,0
Internal,Value,SVF,3988.HK,2015-11-09,0,0
Internal,Value,SVF,3988.HK,2015-11-10,0,0
Internal,Value,SVF,3988.HK,2015-11-11,0,0
Internal,Value,SVF,3988.HK,2015-11-12,0,0
Internal,Value,SVF,3988.HK,2015-11-13,0,0
Internal,Value,SVF,3988.HK,2015-11-14,0,0
Internal,Value,SVF,3988.HK,2015-11-15,0,0
Internal,Value,SVF,3988.HK,2015-11-16,0,0
Internal,Value,SVF,3988.HK,2015-11-17,0,0
Internal,Value,SVF,3988.HK,2015-11-18,0,0
Internal,Value,SVF,3988.HK,2015-11-19,0,0
Internal,Value,SVF,3988.HK,2015-11-20,0,0
Internal,Value,SVF,3988.HK,2015-11-21,0,0
